Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
865335, 75704, 29.46759, -0.2112732, -29.68683, -0.4585266, -0.01661682, 0.8885193, 2.977829, 1, -34.96059, -2.1353, -32.04707, -0.4672394, -0.03768921, 0.883316, 2.933685, 1
865343, 75705, 29.48839, -0.2008972, -29.66728, -0.447403, -0.01826477, 0.8941345, 2.889023, 1, -34.94873, -2.154861, -32.02402, -0.4509888, -0.0272522, 0.8921051, 2.925125, 1
865360, 75707, 29.56113, -0.1672974, -29.64262, -0.4383392, -0.009506226, 0.8987427, 2.900879, 1, -34.87411, -2.133926, -31.95699, -0.43013, -0.0196228, 0.9025421, 3.088837, 1
865368, 75708, 29.62395, -0.1559753, -29.59746, -0.4093781, -0.01324463, 0.912262, 2.880066, 1, -34.8192, -2.109238, -31.9267, -0.4313202, -0.02766418, 0.9017639, 3.055801, 1
865377, 75709, 29.70143, -0.1493835, -29.57855, -0.4089813, -0.01460266, 0.9124146, 2.882401, 1, -34.75626, -2.108582, -31.89005, -0.4223633, -0.02870178, 0.9059601, 3.099594, 1
865393, 75711, 29.82028, -0.1627655, -29.53493, -0.3969879, -0.00642395, 0.9177856, 2.955444, 1, -34.69598, -2.138458, -31.84573, -0.4045715, -0.0252533, 0.9141541, 3.138245, 1
865402, 75712, 29.8269, -0.1894531, -29.52805, -0.3929901, -0.01268005, 0.9194489, 2.824265, 1, -34.70372, -2.203796, -31.84453, -0.3924866, -0.0262146, 0.9193726, 3.027496, 1
865410, 75713, 29.8239, -0.2162781, -29.52042, -0.3855743, -0.01739502, 0.9225006, 2.775162, 1, -34.68713, -2.249573, -31.84274, -0.396286, -0.03465271, 0.9174652, 3.038239, 1
865427, 75715, 29.871, -0.2437744, -29.49501, -0.3793335, -0.02127075, 0.9250031, 2.792007, 1, -34.66623, -2.380676, -31.81549, -0.3687592, -0.02986145, 0.9290314, 3.008301, 1
865435, 75716, 29.89519, -0.2339783, -29.47908, -0.3744202, -0.02308655, 0.9269562, 2.916183, 1, -34.64874, -2.411255, -31.81166, -0.3676147, -0.03335571, 0.9293671, 3.011841, 1
